Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2017-05-24,Samsung calorie adjustment,Cardio,421.0,1,,,,,
2017-05-25,Samsung calorie adjustment,Cardio,251.0,1,,,,,
2017-05-26,Samsung calorie adjustment,Cardio,368.0,1,,,,,
2017-05-27,Samsung calorie adjustment,Cardio,299.0,1,,,,,
2017-05-28,Samsung calorie adjustment,Cardio,278.0,1,,,,,
2017-05-29,Samsung calorie adjustment,Cardio,371.0,1,,,,,
2017-05-30,Samsung calorie adjustment,Cardio,254.0,1,,,,,
2017-05-31,Samsung calorie adjustment,Cardio,382.0,1,,,,,
2017-06-01,Samsung calorie adjustment,Cardio,240.0,1,,,,,
2017-06-02,Samsung calorie adjustment,Cardio,422.0,1,,,,,
2017-06-03,Samsung calorie adjustment,Cardio,193.0,1,,,,,
2017-06-04,Samsung calorie adjustment,Cardio,763.0,1,,,,,
2017-06-05,Samsung calorie adjustment,Cardio,390.0,1,,,,,
2017-06-06,Samsung calorie adjustment,Cardio,214.0,1,,,,,
2017-06-07,Samsung calorie adjustment,Cardio,378.0,1,,,,,
2017-06-08,Samsung calorie adjustment,Cardio,494.0,1,,,,,
2017-06-09,Samsung calorie adjustment,Cardio,126.0,1,,,,,
2017-06-10,Samsung calorie adjustment,Cardio,286.0,1,,,,,
2017-06-11,Samsung calorie adjustment,Cardio,712.0,1,,,,,
2017-06-12,Samsung calorie adjustment,Cardio,89.0,1,,,,,
2017-06-13,Samsung calorie adjustment,Cardio,200.0,1,,,,,
2017-06-14,Samsung calorie adjustment,Cardio,411.0,1,,,,,
2017-06-15,Samsung calorie adjustment,Cardio,344.0,1,,,,,
2017-06-16,Samsung calorie adjustment,Cardio,399.0,1,,,,,
2017-06-17,Samsung calorie adjustment,Cardio,326.0,1,,,,,
2017-06-18,Samsung calorie adjustment,Cardio,363.0,1,,,,,
2017-06-19,Samsung calorie adjustment,Cardio,338.0,1,,,,,
2017-06-20,Samsung calorie adjustment,Cardio,221.0,1,,,,,
2017-06-21,Samsung calorie adjustment,Cardio,309.0,1,,,,,
2017-06-22,Samsung calorie adjustment,Cardio,198.0,1,,,,,
2017-06-23,Samsung calorie adjustment,Cardio,354.0,1,,,,,
2017-06-24,Samsung calorie adjustment,Cardio,370.0,1,,,,,
2017-06-25,Samsung calorie adjustment,Cardio,651.0,1,,,,,
2017-06-26,Samsung calorie adjustment,Cardio,458.0,1,,,,,
2017-06-27,Samsung calorie adjustment,Cardio,391.0,1,,,,,
2017-06-28,Samsung calorie adjustment,Cardio,254.0,1,,,,,
2017-06-29,Samsung calorie adjustment,Cardio,261.0,1,,,,,
2017-06-30,Samsung calorie adjustment,Cardio,363.0,1,,,,,
2017-07-01,Samsung calorie adjustment,Cardio,260.0,1,,,,,
2017-07-02,Samsung calorie adjustment,Cardio,345.0,1,,,,,
2017-07-03,Samsung calorie adjustment,Cardio,380.0,1,,,,,
2017-07-04,Samsung calorie adjustment,Cardio,358.0,1,,,,,
2017-07-05,Samsung calorie adjustment,Cardio,110.0,1,,,,,
2017-07-06,Samsung calorie adjustment,Cardio,250.0,1,,,,,
2017-07-07,Samsung calorie adjustment,Cardio,348.0,1,,,,,
2017-07-08,Samsung calorie adjustment,Cardio,374.0,1,,,,,
2017-07-09,Samsung calorie adjustment,Cardio,509.0,1,,,,,
2017-07-10,Samsung calorie adjustment,Cardio,156.0,1,,,,,
2017-07-11,Samsung calorie adjustment,Cardio,130.0,1,,,,,
2017-07-12,Samsung calorie adjustment,Cardio,243.0,1,,,,,
2017-07-13,Samsung calorie adjustment,Cardio,238.0,1,,,,,
2017-07-14,Samsung calorie adjustment,Cardio,352.0,1,,,,,
2017-07-15,Samsung calorie adjustment,Cardio,307.0,1,,,,,
2017-07-16,Samsung calorie adjustment,Cardio,247.0,1,,,,,
2017-07-17,Samsung calorie adjustment,Cardio,211.0,1,,,,,
2017-07-18,Samsung calorie adjustment,Cardio,186.0,1,,,,,
2017-07-19,Samsung calorie adjustment,Cardio,278.0,1,,,,,
2017-07-20,Samsung calorie adjustment,Cardio,394.0,1,,,,,
2017-07-21,Samsung calorie adjustment,Cardio,247.0,1,,,,,
2017-07-22,Samsung calorie adjustment,Cardio,384.0,1,,,,,
2017-07-23,Samsung calorie adjustment,Cardio,544.0,1,,,,,
2017-07-24,Samsung calorie adjustment,Cardio,401.0,1,,,,,
2017-07-25,Samsung calorie adjustment,Cardio,183.0,1,,,,,
2017-07-26,Samsung calorie adjustment,Cardio,379.0,1,,,,,
2017-07-27,Samsung calorie adjustment,Cardio,244.0,1,,,,,
2017-07-28,Samsung calorie adjustment,Cardio,197.0,1,,,,,
2017-07-29,Samsung calorie adjustment,Cardio,361.0,1,,,,,
2017-07-30,Samsung calorie adjustment,Cardio,290.0,1,,,,,
2017-07-31,Samsung calorie adjustment,Cardio,146.0,1,,,,,
2017-08-01,Samsung calorie adjustment,Cardio,247.0,1,,,,,
2017-08-02,Samsung calorie adjustment,Cardio,120.0,1,,,,,
2017-08-03,Samsung calorie adjustment,Cardio,191.0,1,,,,,
2017-08-04,Samsung calorie adjustment,Cardio,280.0,1,,,,,
2017-08-05,Samsung calorie adjustment,Cardio,450.0,1,,,,,
2017-08-06,Samsung calorie adjustment,Cardio,144.0,1,,,,,
2017-08-07,Samsung calorie adjustment,Cardio,197.0,1,,,,,
2017-08-08,Samsung calorie adjustment,Cardio,432.0,1,,,,,
2017-08-09,Samsung calorie adjustment,Cardio,178.0,1,,,,,
2017-08-10,Samsung calorie adjustment,Cardio,487.0,1,,,,,
2017-08-11,Samsung calorie adjustment,Cardio,372.0,1,,,,,
2017-08-12,Samsung calorie adjustment,Cardio,250.0,1,,,,,
2017-08-13,Samsung calorie adjustment,Cardio,280.0,1,,,,,
2017-08-14,Samsung calorie adjustment,Cardio,146.0,1,,,,,
2017-08-15,Samsung calorie adjustment,Cardio,181.0,1,,,,,
2017-08-16,Samsung calorie adjustment,Cardio,102.0,1,,,,,
2017-08-17,Samsung calorie adjustment,Cardio,274.0,1,,,,,
2017-08-18,Samsung calorie adjustment,Cardio,287.0,1,,,,,
2017-08-19,Samsung calorie adjustment,Cardio,193.0,1,,,,,
2017-08-20,Samsung calorie adjustment,Cardio,362.0,1,,,,,
2017-08-21,Samsung calorie adjustment,Cardio,215.0,1,,,,,
