Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2017-05-22,Regular,2098.3,65.6,18.4,3.2,3.3,0.0,2165.0,1281.5,3890.7,227.9,30.0,3.1,147.3,93.6,303.2,26.3,109.8,
2017-05-23,Regular,2447.9,51.5,12.7,3.2,3.8,0.0,1457.5,1141.2,5581.0,348.1,39.2,3.1,150.8,69.6,424.9,18.3,124.1,
2017-05-24,Irregular,665.4,22.5,5.5,4.5,6.7,0.0,81.5,680.0,599.0,76.8,4.3,9.1,36.3,0.0,3.0,21.0,13.0,
2017-05-24,Regular,1434.2,43.6,13.0,1.6,1.9,0.0,1561.3,911.0,5292.8,149.4,17.8,1.1,100.9,61.8,357.0,16.2,95.5,
2017-05-25,Regular,2098.3,65.6,18.4,3.2,3.3,0.0,2165.0,1281.5,3890.7,227.9,30.0,3.1,147.3,93.6,303.2,26.3,109.8,
2017-05-26,Regular,2098.3,65.6,18.4,3.2,3.3,0.0,2165.0,1281.5,3890.7,227.9,30.0,3.1,147.3,93.6,303.2,26.3,109.8,
2017-05-27,Regular,2098.3,65.6,18.4,3.2,3.3,0.0,2165.0,1281.5,3890.7,227.9,30.0,3.1,147.3,93.6,303.2,26.3,109.8,
2017-05-28,Irregular,1661.4,98.8,40.5,0.0,0.0,0.0,360.0,692.1,137.8,83.0,3.5,0.0,112.8,18.0,8.5,46.1,42.8,
2017-05-28,Regular,914.8,12.0,1.3,1.6,2.4,0.0,113.8,410.3,358.3,152.2,19.9,2.1,62.8,13.8,67.8,4.2,31.5,
2017-05-29,Regular,2073.1,53.7,14.2,3.2,3.8,0.0,1642.5,1194.6,4548.7,255.3,33.2,3.1,145.2,75.6,356.8,20.3,110.5,
2017-05-30,Regular,2198.9,65.6,18.3,3.2,3.1,0.0,2148.8,1233.7,4373.0,254.7,32.1,3.1,145.2,93.6,333.0,26.3,115.6,
2017-05-31,Regular,2198.9,65.6,18.3,3.2,3.1,0.0,2148.8,1233.7,4373.0,254.7,32.1,3.1,145.2,93.6,333.0,26.3,115.6,
2017-06-01,Regular,2198.9,65.6,18.3,3.2,3.1,0.0,2148.8,1233.7,4373.0,254.7,32.1,3.1,145.2,93.6,333.0,26.3,115.6,
2017-06-02,Irregular,654.9,26.6,8.4,4.2,1.5,0.0,156.3,1491.8,409.4,44.1,7.2,3.1,61.8,9.2,26.9,11.3,26.8,
2017-06-02,Regular,1506.7,54.0,16.9,1.6,0.6,0.0,2035.0,846.0,5502.8,149.4,17.8,1.1,90.1,79.8,357.0,22.2,102.5,
2017-06-03,Regular,2198.0,116.6,17.9,30.3,54.9,0.0,211.3,1409.7,358.3,158.0,31.6,8.5,138.5,13.8,67.8,4.2,48.1,
2017-06-04,Regular,2451.6,47.2,10.7,7.6,9.1,0.0,902.5,1028.9,7468.3,359.2,47.5,7.1,150.0,37.8,450.5,8.2,163.2,
2017-06-05,Regular,2300.3,66.1,18.3,3.2,3.1,0.0,2148.8,1238.3,4676.1,275.9,33.7,3.1,148.0,93.6,351.7,26.3,120.1,
